ticker,company,sector,revenue_usd,cogs_usd,energy_cost_usd,scope1_tco2e,measured_intensity_tco2e_per_usd_mm,grid_intensity_kgco2e_per_mwh,carbon_intensity_score,energy_mix_score,resource_waste_score,input_efficiency_score,n_indicators_available,environmental_score
ELV,Elevance Health,Health Care,199125000000.0,21178000000.0,,,,660.9703,,1.7543859649122862,,93.61702127659575,2,51.86127795310326
EME,Emcor,Industrials,16986422000.0,13703434000.0,,,,244.1532,,65.38461538461539,,7.4074074074074066,2,23.228476250928754
EMR,Emerson Electric,Industrials,18016000000.0,8497000000.0,,,,655.0494,,1.2820512820512775,,83.33333333333334,2,60.94282804127365
EOG,EOG Resources,Energy,22632000000.0,,,318787.6,14.085701661364439,348.5027,80.0,4.761904761904767,,,2,66.32034632034632
EQIX,Equinix,Real Estate,9217000000.0,4508000000.0,,,,178.4824,,73.33333333333334,,36.36363636363637,2,62.45989304812835
EQT,EQT Corporation,Energy,8644211000.0,1532090000.0,,162027.8,18.744082022060777,292.9175,73.33333333333334,95.23809523809523,,80.0,3,77.89115646258504
ERIE,Erie Indemnity,Financials,4067258000.0,,,,,292.9175,,34.285714285714285,,,1,34.285714285714285
ES,Eversource Energy,Utilities,13547244000.0,,,206262.3,15.225406732173715,244.1532,93.10344827586206,64.51612903225806,,,2,82.89369140314633
ESS,Essex Property Trust,Real Estate,1887345000.0,,,,,178.4824,,73.33333333333334,,,1,73.33333333333334
ETN,Eaton Corporation,Industrials,27448000000.0,17131000000.0,,,,,,,,48.14814814814815,1,48.14814814814815
ETR,Entergy,Utilities,12946686000.0,,,38142109.1,2946.090536219076,345.367,10.344827586206895,45.16129032258065,,,2,22.779278563483235
EVRG,Evergy,Utilities,5961600000.0,,,23109085.7,3876.3227489264623,655.0494,3.4482758620689613,3.2258064516129004,,,2,3.3688225011917963
EW,Edwards Lifesciences,Health Care,6067600000.0,1334200000.0,,,,178.4824,,82.45614035087719,,82.97872340425532,2,82.7411856527198
EXC,Exelon,Utilities,24258000000.0,,,301249.6,12.418567070657101,213.9618,96.55172413793103,77.41935483870968,,,2,89.71873510249483
EXE,Expand Energy,Energy,12124000000.0,,,,,293.568,,76.19047619047619,,,1,76.19047619047619
EXPD,Expeditors International,Industrials,11069009000.0,,,,,120.2561,,96.15384615384616,,,1,96.15384615384616
EXPE,Expedia Group,Consumer Discretionary,14733000000.0,,,,,120.2561,,93.18181818181819,,,1,93.18181818181819
EXR,Extra Space Storage,Real Estate,3377542000.0,918148000.0,,,,640.9348,,3.3333333333333326,,54.54545454545454,2,18.395721925133685
F,Ford Motor Company,Consumer Discretionary,187267000000.0,174466000000.0,,497625.1,2.6573026747905395,359.7763,50.0,9.090909090909093,,0.0,3,26.363218198544782
FANG,Diamondback Energy,Energy,15026000000.0,,,,,348.5027,,4.761904761904767,,,1,4.761904761904767
FAST,Fastenal,Industrials,8200500000.0,4509300000.0,,,,339.0806,,39.743589743589745,,72.22222222222221,2,63.35931387744859
FCX,Freeport-McMoRan,Materials,25915000000.0,18618000000.0,,468238.0,18.068223036851244,311.4764,82.35294117647058,50.0,,45.45454545454546,3,67.1886936592819
FDS,FactSet,Financials,2321748000.0,1097782000.0,,,,244.1532,,41.42857142857142,,40.0,2,40.81632653061224
FDX,FedEx,Industrials,94720000000.0,,4052000000.0,,,298.1312,,55.12820512820513,,90.0,2,80.48403525087463
FDXF,FedEx Freight,Industrials,8795000000.0,,486000000.0,,,298.1312,,55.12820512820513,,60.0,2,58.67056374828395
FE,FirstEnergy,Utilities,15090000000.0,,652000000.0,15338451.1,1016.464618952949,482.5511,58.62068965517242,16.129032258064512,,66.66666666666667,3,46.34779384501298
FERG,Ferguson Enterprises,Industrials,30762000000.0,21327000000.0,,,,243.5116,,71.7948717948718,,25.92592592592593,2,38.44284034266764
FFIV,"F5, Inc.",Information Technology,3088072000.0,573978000.0,,,,120.2561,,95.65217391304348,,89.23076923076923,2,93.35881509794552
FICO,Fair Isaac,Information Technology,1990869000.0,353722000.0,,,,479.0692,,1.449275362318836,,90.76923076923077,2,33.34925943621595
FIS,Fidelity National Information Services,Financials,10677000000.0,6741000000.0,,,,356.816,,14.28571428571429,,0.0,2,8.16326530612245
FISV,Fiserv,Financials,21193000000.0,,,,,524.8046,,1.4285714285714235,,,1,1.4285714285714235
FITB,Fifth Third Bancorp,Financials,9903000000.0,,,,,482.5511,,2.857142857142858,,,1,2.857142857142858
FIX,Comfort Systems USA,Industrials,9101641000.0,6905742000.0,,,,348.5027,,28.205128205128204,,14.814814814814813,2,18.46882088678289
FLEX,Flex Ltd.,Information Technology,27914000000.0,25288000000.0,,,,348.5027,,13.043478260869568,,1.538461538461533,2,8.934543717152412
FOX,Fox Corporation (Class B),Communication Services,16300000000.0,,,,,210.982,,19.047619047619047,,,1,19.047619047619047
FRT,Federal Realty Investment Trust,Real Estate,1278975000.0,,42703000.0,,,235.8781,,50.0,,50.0,2,50.0
FSLR,First Solar,Information Technology,5219376000.0,3099037000.0,,,,311.4764,,24.63768115942029,,26.15384615384615,2,25.17916865742953
FTNT,Fortinet,Information Technology,6799600000.0,1328900000.0,,,,178.4824,,49.27536231884058,,87.6923076923077,2,62.9956999522217
FTV,Fortive,Industrials,4159100000.0,1518000000.0,,,,120.2561,,96.15384615384616,,92.5925925925926,2,93.56440271811603
GD,General Dynamics,Industrials,52550000000.0,,,,,243.5116,,71.7948717948718,,,1,71.7948717948718
GDDY,GoDaddy,Information Technology,4951100000.0,,,,,311.4764,,24.63768115942029,,,1,24.637681159420293
GE,GE Aerospace,Industrials,45855000000.0,,,,,482.5511,,7.692307692307687,,,1,7.692307692307688
GEHC,GE HealthCare,Health Care,20625000000.0,,,,,213.9618,,57.89473684210527,,,1,57.89473684210527
GEN,Gen Digital,Information Technology,5000000000.0,1077000000.0,,,,311.4764,,24.63768115942029,,84.61538461538461,2,46.058289536550404
GEV,GE Vernova,Industrials,38068000000.0,30533000000.0,,,,373.0301,,19.23076923076923,,9.259259259259256,2,11.980327610724846
GILD,Gilead Sciences,Health Care,29443000000.0,6234000000.0,,,,178.4824,,82.45614035087719,,85.1063829787234,2,83.9017272387933
GIS,General Mills,Consumer Staples,18424600000.0,12228900000.0,,70688.6,3.8366423151655944,339.0806,53.84615384615385,29.411764705882348,,40.625,3,45.95000450903095
GL,Globe Life,Financials,5994318000.0,,,,,348.5027,,18.571428571428573,,,1,18.571428571428573
GLW,Corning Inc.,Information Technology,15629000000.0,10008000000.0,,171577.2,10.978130398617955,210.982,30.000000000000004,44.927536231884055,,19.999999999999996,3,34.21739130434782
GM,General Motors,Consumer Discretionary,185019000000.0,100544000000.0,,572171.0,3.0924986082510446,359.7763,25.0,9.090909090909093,,53.125,3,32.4594118507987
GNRC,Generac,Industrials,4209147000.0,2597410000.0,,,,524.8046,,2.564102564102566,,51.85185185185186,2,38.40199971460766
GOOGL,Alphabet Inc. (Class A),Communication Services,402836000000.0,162535000000.0,,15853.46924,0.03935464864113436,178.4824,33.333333333333336,52.38095238095239,,37.5,3,42.94642857142858
GPC,Genuine Parts Company,Consumer Discretionary,24300141000.0,15359443000.0,,,,323.7885,,34.09090909090909,,34.375,2,34.289798862590956
GPN,Global Payments,Financials,7705878000.0,2113381000.0,,,,323.7885,,24.28571428571429,,70.0,2,43.877551020408156
GRMN,Garmin,Consumer Discretionary,7245519000.0,2989216000.0,,,,,,,,78.125,1,78.125
GS,Goldman Sachs,Financials,58283000000.0,,,15642.1,0.26838186091999383,210.982,87.5,60.0,,,2,73.75
GWW,W. W. Grainger,Industrials,17942000000.0,10933000000.0,,,,213.9618,,80.76923076923077,,57.407407407407405,2,63.78248183084107
HAL,Halliburton,Energy,22184000000.0,,,53414.5,2.40779390551749,348.5027,86.66666666666667,4.761904761904767,,,2,71.77489177489177
HAS,Hasbro,Consumer Discretionary,5365900000.0,1296200000.0,,,,380.6256,,4.545454545454541,,93.75,2,66.9968428535586
HBAN,Huntington Bancshares,Financials,1562000000.0,,,,,359.7763,,12.857142857142856,,,1,12.857142857142856
HCA,HCA Healthcare,Health Care,75600000000.0,,,,,298.1312,,43.85964912280702,,,1,43.85964912280702
HD,Home Depot (The),Consumer Discretionary,164683000000.0,109818000000.0,,,,323.7885,,34.09090909090909,,25.0,2,27.726436397089575
HIG,Hartford (The),Financials,28368000000.0,,,,,244.1532,,41.42857142857142,,,1,41.42857142857142
HII,Huntington Ingalls Industries,Industrials,12484000000.0,,,49706.7,3.9816324895866706,243.5116,40.0,71.7948717948718,,,2,45.96625860283818
HLT,Hilton Worldwide,Consumer Discretionary,12039000000.0,,,,,243.5116,,59.09090909090908,,,1,59.09090909090908
HON,Honeywell Technologies,Industrials,37442000000.0,23613000000.0,,,,283.0228,,61.53846153846154,,46.29629629629629,2,50.455643633536546
HONA,Honeywell Aerospace,Industrials,,,,,,311.4764,,51.28205128205128,,,1,51.28205128205128
HOOD,Robinhood Markets,Financials,4473000000.0,,,,,178.4824,,91.42857142857143,,,1,91.42857142857143
HPE,Hewlett Packard Enterprise,Information Technology,34296000000.0,,,,,348.5027,,13.043478260869568,,,1,13.043478260869568
HPQ,HP Inc.,Information Technology,55295000000.0,43903000000.0,,,,178.4824,,49.27536231884058,,6.153846153846154,2,33.87482083134257
