ticker,company,sector,sub_industry,cik,legal_name,gics_sector,gics_sub_industry,hq_state,market_cap_usd,shares_outstanding,esg_risk_score_external,esg_controversy_level_external,scope1_tco2e,ghg_facility_count,cogs_usd,energy_cost_usd,revenue_usd,ebit_usd,ebitda_usd,free_cash_flow_usd,capex_usd,rnd_expense_usd,sbti_target_validated,sbti_target_type,target_year,target_baseline_year,target_reduction_pct,target_scope_coverage,buybacks_usd,dividends_paid_usd
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,structural,structural,structural,structural,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,structural,structural,structural,quote_verified,quote_verified,quote_verified,structural,not_disclosed
CMI,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment,structural,structural,structural,structural,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,structural,not_disclosed,structural,structural,structural,structural,structural,structural,structural,structural,structural,quote_verified,quote_verified,quote_verified,structural,structural
CMS,CMS Energy,Utilities,Multi-Utilities,structural,structural,structural,structural,structural,structural,structural,structural,structural,structural,structural,not_disclosed,structural,structural,structural,structural,not_disclosed,not_disclosed,not_disclosed,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed
CNC,Centene Corporation,Health Care,Managed Health Care,structural,structural,structural,structural,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,structural,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,structural,not_disclosed
CNP,CenterPoint Energy,Utilities,Multi-Utilities,structural,structural,structural,structural,structural,structural,structural,structural,structural,structural,structural,structural,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,structural
COF,Capital One,Financials,Consumer Finance,structural,structural,structural,structural,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,structural,structural
COHR,Coherent Corp.,Information Technology,Electronic Components,structural,structural,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,structural,not_disclosed,structural,structural,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed
COIN,Coinbase,Financials,Financial Exchanges & Data,structural,structural,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,structural,structural,structural,not_disclosed,not_disclosed,structural,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,structural,not_disclosed
COO,Cooper Companies (The),Health Care,Health Care Supplies,structural,structural,structural,structural,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,structural,not_disclosed,structural,structural,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,structural,structural
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,structural,structural,structural,structural,structural,structural,structural,structural,structural,structural,structural,structural,not_disclosed,structural,structural,structural,not_disclosed,not_disclosed,structural,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,structural,structural
COR,Cencora,Health Care,Health Care Distributors,structural,structural,structural,structural,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,structural,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,structural,structural,quote_verified,quote_verified,quote_verified,quote_verified,structural,structural
COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,structural,structural,structural,structural,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,structural,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,structural,structural
CPAY,Corpay,Financials,Transaction & Payment Processing Services,structural,structural,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,structural,not_disclosed
CPRT,Copart,Industrials,Diversified Support Services,structural,structural,structural,structural,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed
CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,structural,structural,structural,structural,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,structural,not_disclosed,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,structural,structural
CRH,CRH plc,Materials,Construction Materials,structural,structural,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,structural,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,structural,structural,structural,not_disclosed,not_disclosed,not_disclosed,structural,not_disclosed
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,structural,structural,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,structural,structural,structural,quote_verified,quote_verified,quote_verified,structural,not_disclosed
CRM,Salesforce,Information Technology,Application Software,structural,structural,structural,structural,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,structural,not_disclosed,structural,structural,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,structural,structural
CRWD,CrowdStrike,Information Technology,Systems Software,structural,structural,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,structural,not_disclosed,structural,structural,not_disclosed,structural,structural,structural,structural,structural,quote_verified,quote_verified,quote_verified,quote_verified,not_disclosed,not_disclosed
