gics_sector,ghgrp_direct_emissions_tco2e
Communication Services,183091.064
Consumer Discretionary,493208.856
Consumer Staples,35434318.654
Energy,111460272.56800544
Health Care,1071631.356
Industrials,145613645.5418
Materials,615378939.4169148
Real Estate,486207.908
Utilities,1459303950.4351656
