ticker,company,sector,sub_industry,has_climate_oversight_committee,has_third_party_assurance,assurance_level,emissions_boundary_stated,has_clawback_policy,has_psu_plan,performance_period_years,independent_director_count,board_size,lead_independent_director,buybacks_usd,dividends_paid_usd
BA,Boeing,Industrials,Aerospace & Defense,,,,,1.0,1.0,3.0,,,0.0,,
BAC,Bank of America,Financials,Diversified Banks,,,,,1.0,0.0,3.0,,,1.0,4576000000.0,
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers",,,,,1.0,1.0,3.0,8.0,9.0,1.0,3000000.0,252000000.0
BAX,Baxter International,Health Care,Health Care Equipment,,,,,1.0,1.0,3.0,8.0,9.0,1.0,0.0,586000000.0
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,,,,,1.0,0.0,3.0,12.0,13.0,1.0,340000000.0,801000000.0
BDX,Becton Dickinson,Health Care,Health Care Equipment,,,,,1.0,1.0,3.0,,,0.0,0.0,1114000000.0
BEN,Franklin Resources,Financials,Asset Management & Custody Banks,,,,,1.0,1.0,3.0,8.0,11.0,1.0,256300000.0,607300000.0
BF.B,Brown–Forman,Consumer Staples,Distillers & Vintners,,,,,1.0,1.0,3.0,6.0,11.0,1.0,400000000.0,404000000.0
BG,Bunge Global,Consumer Staples,Agricultural Products & Services,1.0,1.0,reasonable,1.0,1.0,1.0,3.0,,,1.0,600000000.0,383000000.0
BIIB,Biogen,Health Care,Biotechnology,,,,,1.0,1.0,3.0,9.0,10.0,0.0,0.0,
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",,,,,1.0,1.0,3.0,10.0,11.0,1.0,10377000000.0,0.0
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,,,,,1.0,1.0,3.0,,,1.0,538000000.0,786000000.0
BLDR,Builders FirstSource,Industrials,Building Products,,,,,1.0,1.0,3.0,11.0,13.0,0.0,1811517000.0,
BLK,BlackRock,Financials,Asset Management & Custody Banks,,,,,1.0,0.0,3.0,,,1.0,1884000000.0,3035000000.0
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,,1.0,reasonable,,1.0,1.0,3.0,,,1.0,5155000000.0,4744000000.0
