ticker,company,sector,environmental_score,transition_score,governance_score,n_pillars_available,data_confidence_pct,final_score
A,Agilent Technologies,Health Care,43.1050256201432,95.68751769809184,45.91040260468259,3,94.66666666666666,61.567648640972536
AAPL,Apple Inc.,Information Technology,38.996655518394654,78.89866941688972,42.89209786353358,3,87.64285714285714,53.59580759960598
ABBV,AbbVie,Health Care,70.26091825307951,74.94267021274703,48.53431337280183,3,94.64285714285714,64.57930061287612
ABNB,Airbnb,Consumer Discretionary,72.25160993560257,82.40582673346194,48.47313098977343,3,91.0952380952381,67.71018921961264
ABT,Abbott Laboratories,Health Care,37.5481522956327,68.09045657814585,61.393529916090806,3,89.04061624649859,55.67737959662311
ACGL,Arch Capital Group,Financials,,62.38105912066206,40.2093701834164,2,76.15546218487397,51.29521465203923
ACN,Accenture,Information Technology,7.538461538461535,75.12586232392435,44.73817125612916,3,87.64285714285714,42.46749837283834
ADBE,Adobe Inc.,Information Technology,58.33731485905398,99.77548045317876,45.98487592854588,3,90.5,68.03255708025954
ADI,Analog Devices,Information Technology,28.30434782608696,82.18347272537187,57.092281439981576,3,98.80952380952381,55.8600339971468
ADM,Archer Daniels Midland,Consumer Staples,9.86133119476437,46.71352103364479,45.90926353406503,3,94.16666666666667,34.16137192082473
ADP,Automatic Data Processing,Industrials,62.15805429418056,63.43300672378306,58.06492637215528,3,91.79487179487178,61.218662463372965
ADSK,Autodesk,Information Technology,58.82083134257047,82.17063367019242,80.06527404956614,3,87.16666666666666,73.68557968744301
AEE,Ameren,Utilities,17.941760686477036,0.0,58.520400931456926,3,92.39926739926739,25.487387205977985
AEP,American Electric Power,Utilities,24.425552200858093,32.86423287429103,42.32673052321248,3,88.80952380952381,33.20550519945387
AES,AES Corporation,Utilities,52.20383759733036,0.0,74.75947245993527,3,86.18326118326118,42.32110335242187
AFL,Aflac,Financials,18.103896103896105,57.11718947538812,63.12048192771084,3,83.53276353276352,46.11385583566502
AIG,American International Group,Financials,44.72727272727272,72.13120359297417,46.84929556976792,3,83.47619047619048,54.569257296671594
AIZ,Assurant,Financials,18.103896103896105,68.39277345166366,74.73604139565612,3,77.16666666666666,53.744236983738624
AJG,Arthur J. Gallagher & Co.,Financials,58.07421150278291,56.25419972613362,63.12048192771084,3,83.53276353276352,59.14963105220912
AKAM,Akamai Technologies,Information Technology,19.529861442904924,80.82146009899637,67.10172415911084,3,81.33333333333333,55.81768190033738
